stick_id,member_id,member_group,lane,piece_index,s0_mm,s1_mm,cut_length_mm,x0_mm,y0_mm,z0_mm,x1_mm,y1_mm,z1_mm,N_piece_N,sigma_axial_piece_MPa,member_state,mass_g
M141-L03-P02,141,diagonal,3,2,90.0,124.00716825158848,34.00716825158848,1272.5764496270135,85.0,53.222729726476565,1300.0,85.0,73.33333333333331,0.05599966850592971,0.005333301762469496,tension,0.39675029626853225
M142-L01-P01,142,chord_lacing,1,1,0.0,120.0,120.0,1200.0,85.0,0.0,1296.7685995026848,85.0,70.96363963530209,0.05599966850592971,0.005333301762469496,tension,1.4
M142-L01-P02,142,chord_lacing,1,2,90.0,124.00716825158848,34.00716825158848,1272.5764496270135,85.0,53.222729726476565,1300.0,85.0,73.33333333333331,0.05599966850592971,0.005333301762469496,tension,0.39675029626853225
M143-L01-P01,143,bottom_transverse,1,1,0.0,120.0,120.0,-100.0,-85.0,0.0,-100.0,35.0,0.0,0.0,0.0,tension,1.4
M143-L01-P02,143,bottom_transverse,1,2,90.0,170.0,80.0,-100.0,5.0,0.0,-100.0,85.0,0.0,0.0,0.0,tension,0.9333333333333333
M143-L02-P01,143,bottom_transverse,2,1,0.0,120.0,120.0,-100.0,-85.0,0.0,-100.0,35.0,0.0,0.0,0.0,tension,1.4
M143-L02-P02,143,bottom_transverse,2,2,90.0,170.0,80.0,-100.0,5.0,0.0,-100.0,85.0,0.0,0.0,0.0,tension,0.9333333333333333
M144-L01-P01,144,top_transverse,1,1,0.0,120.0,120.0,-100.0,-85.0,73.33333333333333,-100.0,35.0,73.33333333333333,-0.06596563427717295,-0.006282441359730757,compression,1.4
M144-L01-P02,144,top_transverse,1,2,90.0,170.0,80.0,-100.0,5.0,73.33333333333333,-100.0,85.0,73.33333333333333,-0.06596563427717295,-0.006282441359730757,compression,0.9333333333333333
M144-L02-P01,144,top_transverse,2,1,0.0,120.0,120.0,-100.0,-85.0,73.33333333333333,-100.0,35.0,73.33333333333333,-0.06596563427717295,-0.006282441359730757,compression,1.4
M144-L02-P02,144,top_transverse,2,2,90.0,170.0,80.0,-100.0,5.0,73.33333333333333,-100.0,85.0,73.33333333333333,-0.06596563427717295,-0.006282441359730757,compression,0.9333333333333333
M145-L01-P01,145,bottom_transverse,1,1,0.0,120.0,120.0,0.0,-85.0,0.0,0.0,35.0,0.0,2.6080557315914175,0.24838626015156356,tension,1.4
M145-L01-P02,145,bottom_transverse,1,2,90.0,170.0,80.0,0.0,5.0,0.0,0.0,85.0,0.0,2.6080557315914175,0.24838626015156356,tension,0.9333333333333333
M145-L02-P01,145,bottom_transverse,2,1,0.0,120.0,120.0,0.0,-85.0,0.0,0.0,35.0,0.0,2.6080557315914175,0.24838626015156356,tension,1.4
M145-L02-P02,145,bottom_transverse,2,2,90.0,170.0,80.0,0.0,5.0,0.0,0.0,85.0,0.0,2.6080557315914175,0.24838626015156356,tension,0.9333333333333333
M146-L01-P01,146,top_transverse,1,1,0.0,120.0,120.0,0.0,-85.0,73.33333333333333,0.0,35.0,73.33333333333333,4.918155880256087,0.46839579811962734,tension,1.4
M146-L01-P02,146,top_transverse,1,2,90.0,170.0,80.0,0.0,5.0,73.33333333333333,0.0,85.0,73.33333333333333,4.918155880256087,0.46839579811962734,tension,0.9333333333333333
M146-L02-P01,146,top_transverse,2,1,0.0,120.0,120.0,0.0,-85.0,73.33333333333333,0.0,35.0,73.33333333333333,4.918155880256087,0.46839579811962734,tension,1.4
M146-L02-P02,146,top_transverse,2,2,90.0,170.0,80.0,0.0,5.0,73.33333333333333,0.0,85.0,73.33333333333333,4.918155880256087,0.46839579811962734,tension,0.9333333333333333
M147-L01-P01,147,bottom_transverse,1,1,0.0,120.0,120.0,100.0,-85.0,0.0,100.0,35.0,0.0,0.9866145117124795,0.09396328682975995,tension,1.4
M147-L01-P02,147,bottom_transverse,1,2,90.0,170.0,80.0,100.0,5.0,0.0,100.0,85.0,0.0,0.9866145117124795,0.09396328682975995,tension,0.9333333333333333
M147-L02-P01,147,bottom_transverse,2,1,0.0,120.0,120.0,100.0,-85.0,0.0,100.0,35.0,0.0,0.9866145117124795,0.09396328682975995,tension,1.4
M147-L02-P02,147,bottom_transverse,2,2,90.0,170.0,80.0,100.0,5.0,0.0,100.0,85.0,0.0,0.9866145117124795,0.09396328682975995,tension,0.9333333333333333
M148-L01-P01,148,top_transverse,1,1,0.0,120.0,120.0,100.0,-85.0,110.0,100.0,35.0,110.0,8.01723210326154,0.7635459145963371,tension,1.4
M148-L01-P02,148,top_transverse,1,2,90.0,170.0,80.0,100.0,5.0,110.0,100.0,85.0,110.0,8.01723210326154,0.7635459145963371,tension,0.9333333333333333
M148-L02-P01,148,top_transverse,2,1,0.0,120.0,120.0,100.0,-85.0,110.0,100.0,35.0,110.0,8.01723210326154,0.7635459145963371,tension,1.4
M148-L02-P02,148,top_transverse,2,2,90.0,170.0,80.0,100.0,5.0,110.0,100.0,85.0,110.0,8.01723210326154,0.7635459145963371,tension,0.9333333333333333
M149-L01-P01,149,bottom_transverse,1,1,0.0,120.0,120.0,200.0,-85.0,0.0,200.0,35.0,0.0,-0.3146746415464543,-0.029969013480614697,compression,1.4
